ip,action,timestamp
192.168.1.1,LOGIN_FAILED,2026-04-25 10:00:00
192.168.1.1,LOGIN_FAILED,2026-04-25 10:00:00
192.168.1.1,LOGIN_FAILED,2026-04-25 10:00:00
192.168.1.1,LOGIN_FAILED,2026-04-25 10:00:01
192.168.1.1,LOGIN_FAILED,2026-04-25 10:00:01
10.0.0.5,DATA_DOWNLOAD,2026-04-25 10:00:05
10.0.0.5,DATA_DOWNLOAD,2026-04-25 10:00:05
10.0.0.5,DATA_DOWNLOAD,2026-04-25 10:00:05
10.0.0.5,DATA_DOWNLOAD,2026-04-25 10:00:06
172.16.0.3,FILE_ACCESS,2026-04-25 10:00:10
192.168.1.9,LOGIN_SUCCESS,2026-04-25 10:00:12
